,precision,recall,f1-score,support
animals,0.5,0.125,0.2,8.0
food,1.0,0.14285714285714285,0.25,7.0
other,0.0,0.0,0.0,0.0
people,0.6,0.375,0.4615384615384615,8.0
places,0.3333333333333333,0.375,0.35294117647058826,8.0
sports,0.1875,0.6,0.2857142857142857,5.0
accuracy,0.3055555555555556,0.3055555555555556,0.3055555555555556,0.3055555555555556
macro avg,0.4368055555555556,0.26964285714285713,0.2583656539538892,36.0
weighted avg,0.5390046296296297,0.3055555555555556,0.3137335703512174,36.0
