,precision,recall,f1-score,support
animals,1.0,0.25,0.4,8.0
food,0.5,0.14285714285714285,0.22222222222222224,7.0
other,0.0,0.0,0.0,0.0
people,0.5714285714285714,0.5,0.5333333333333333,8.0
places,0.625,0.625,0.625,8.0
sports,1.0,0.6,0.7499999999999999,5.0
accuracy,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
macro avg,0.6160714285714285,0.3529761904761905,0.4217592592592592,36.0
weighted avg,0.7242063492063492,0.4166666666666667,0.49367283950617286,36.0
