,precision,recall,f1-score,support
animals,1.0,0.125,0.2222222222222222,8.0
food,0.3333333333333333,0.14285714285714285,0.2,7.0
other,0.0,0.0,0.0,0.0
people,0.25,0.125,0.16666666666666666,8.0
places,0.8,0.5,0.6153846153846154,8.0
sports,1.0,0.8,0.888888888888889,5.0
accuracy,0.3055555555555556,0.3055555555555556,0.3055555555555556,0.3055555555555556
macro avg,0.5638888888888889,0.28214285714285714,0.3488603988603989,36.0
weighted avg,0.6592592592592593,0.3055555555555556,0.3855175688509022,36.0
